Name,Id,Latitude,Longitude,Year,Spec,Type,Status,Condition,Auto_id
DFC2020-34,176159,51.18217,94.63433,2020,Falco tinnunculus,box,Occup,worth,174
DFC2020-35,176166,51.17785,94.67628,2020,Falco tinnunculus,box,Occup,worth,175
DFC2020-36,176136,51.54381,94.72978,2020,Falco tinnunculus,box,Occup,worth,176
DFC2020-37,176135,51.55577,94.7445,2020,Falco tinnunculus,box,Occup,worth,177
DFC2020-38,176133,51.57938,94.72661,2020,Falco tinnunculus,box,Occup,worth,178
DFC2020-39,176138,51.57,94.69186,2020,Falco tinnunculus,box,Occup,worth,179
DFC2020-4,176185,51.18316,94.79359,2020,Falco tinnunculus,box,Occup,worth,180
DFC2020-40,176131,51.59422,94.66405,2020,Falco tinnunculus,box,Occup,worth,181
DFC2020-41,176124,51.6077,94.68479,2020,Falco tinnunculus,box,Occup,worth,182
DFC2020-42,176132,51.59125,94.69757,2020,Falco tinnunculus,box,Occup,worth,183
DFC2020-43,194897,51.5624,94.71078,2020,Falco tinnunculus,box,Occup,worth,184
DFC2020-44,176123,51.6189,94.72134,2020,Falco cherrug,box,Occup,worth,185
DFC2020-45,176120,51.634317,94.708152,2020,Falco tinnunculus,box,Occup,worth,186
DFC2020-46,176143,51.3067,94.39714,2020,Falco tinnunculus,box,Occup,worth,187
DFC2020-48,176145,51.2869,94.38715,2020,Falco tinnunculus,box,Occup,worth,188
DFC2020-5,176186,51.17431,94.81312,2020,Strix uralensis,box,Occup,worth,189
DFC2020-50,176194,51.39757,94.57535,2020,Falco tinnunculus,box,Occup,worth,190
DFC2020-51,176195,51.39255,94.63261,2020,Falco tinnunculus,box,Occup,worth,191
DFC2020-52,176196,51.40633,94.66932,2020,Falco tinnunculus,box,Occup,worth,192
DFC2020-53,176142,51.544785,94.675454,2020,Falco tinnunculus,box,Occup,destr,193
DFC2020-54,176154,51.280097,94.472057,2020,Falco cherrug,box,Occup,worth,194
DFC2020-6,176187,51.17242,94.83185,2020,Strix uralensis,box,Occup,worth,195
DFC2020-7,176191,51.33132,94.93804,2020,Falco tinnunculus,box,Occup,worth,196
DFC2020-8,176188,51.16861,94.87419,2020,Falco tinnunculus,box,Occup,worth,197
DFC2020-9,176189,51.16052,94.89325,2020,Falco cherrug,box,Occup,worth,198
DFT2020-11,202050,51.40256,94.66264,2020,Falco cherrug,box,Occup,worth,199
FC-Pine1,169444,51.22943,94.93495,2018,Buteo hemilasius,platf-tree,Occup,worth,200
FC-PINE2,169454,51.231423,94.928652,2019,Buteo hemilasius,platf-tree,Occup,worth,201
FC-RT164-1_BH-RT463-1(BH-03),BH-03,51.42576,94.63878,2006,Falco cherrug,platf-tree,Occup,worth,202
FC-RT198_BH-RT443-3(A32-MK),A32-MK,51.60927,94.47478,2006,Falco cherrug,platf-tree,Occup,worth,203
FC-RT199(TUV-2),TUV-2,51.52736234,94.5730253,2011,Buteo hemilasius,platf-pole,Occup,worth,204
FC-RT271-1_BH-RT508-1(A41-MK),A41-MK,51.43963,94.90129,2006,Falco cherrug,platf-tree,Occup,worth,205
FC-RT273-1(A06),A06,51.39663,94.57562,2006,Falco cherrug,platf-tree,Occup,destr,206
FC-RT274-1_BH-RT293-2(BH-X3-FC),BH-X3,51.3712,94.87064,2006,Falco cherrug,platf-tree,Occup,destr,207
FC-RT284-1_BH-RT426-1(BH57),BH57,51.47554,94.76864,2006,Falco cherrug,platf-tree,Occup,worth,208
FC-RT285-1_BH-RT498-4 (A25-MK),A25-MK,51.51028,94.73956,2006,Falco cherrug,platf-tree,Occup,worth,209
FC-RT286-1_BH-RT497-1(A18),A18-MK,51.52497,94.68795,2006,Falco cherrug,platf-tree,Occup,worth,210
FC-RT287-1_BH-RT506-1(A45-MK),A45-MK,51.41307,94.85187,2006,Falco cherrug,platf-tree,Occup,worth,211
FC-RT289 (TUV-14),TUV-14,51.49886219,94.63886364,2011, ,platf-pole,Empty,worth,212
FC-TH1,141658,51.55265,94.65215,2018,Falco cherrug,platf-tree,Occup,worth,213
